infinitive,alias,group,mood,tense,layout,row_order,label,form,note_keys
sein,sein,irregular,indicative,present,personal,1,ich,bin,
sein,sein,irregular,indicative,present,personal,2,du,bist,
sein,sein,irregular,indicative,present,personal,3,er / sie / es,ist,
sein,sein,irregular,indicative,present,personal,4,wir,sind,
sein,sein,irregular,indicative,present,personal,5,ihr,seid,
sein,sein,irregular,indicative,present,personal,6,sie / Sie,sind,
sein,sein,irregular,indicative,preterite,personal,1,ich,war,
sein,sein,irregular,indicative,preterite,personal,2,du,warst,
sein,sein,irregular,indicative,preterite,personal,3,er / sie / es,war,
sein,sein,irregular,indicative,preterite,personal,4,wir,waren,
sein,sein,irregular,indicative,preterite,personal,5,ihr,wart,
sein,sein,irregular,indicative,preterite,personal,6,sie / Sie,waren,
sein,sein,irregular,indicative,perfect,personal,1,ich,bin gewesen,
sein,sein,irregular,indicative,perfect,personal,2,du,bist gewesen,
sein,sein,irregular,indicative,perfect,personal,3,er / sie / es,ist gewesen,
sein,sein,irregular,indicative,perfect,personal,4,wir,sind gewesen,
sein,sein,irregular,indicative,perfect,personal,5,ihr,seid gewesen,
sein,sein,irregular,indicative,perfect,personal,6,sie / Sie,sind gewesen,
sein,sein,irregular,indicative,pluperfect,personal,1,ich,war gewesen,
sein,sein,irregular,indicative,pluperfect,personal,2,du,warst gewesen,
sein,sein,irregular,indicative,pluperfect,personal,3,er / sie / es,war gewesen,
sein,sein,irregular,indicative,pluperfect,personal,4,wir,waren gewesen,
sein,sein,irregular,indicative,pluperfect,personal,5,ihr,wart gewesen,
sein,sein,irregular,indicative,pluperfect,personal,6,sie / Sie,waren gewesen,
sein,sein,irregular,indicative,futureI,personal,1,ich,werde sein,
sein,sein,irregular,indicative,futureI,personal,2,du,wirst sein,
sein,sein,irregular,indicative,futureI,personal,3,er / sie / es,wird sein,
sein,sein,irregular,indicative,futureI,personal,4,wir,werden sein,
sein,sein,irregular,indicative,futureI,personal,5,ihr,werdet sein,
sein,sein,irregular,indicative,futureI,personal,6,sie / Sie,werden sein,
sein,sein,irregular,indicative,futureII,personal,1,ich,werde gewesen sein,
sein,sein,irregular,indicative,futureII,personal,2,du,wirst gewesen sein,
sein,sein,irregular,indicative,futureII,personal,3,er / sie / es,wird gewesen sein,
sein,sein,irregular,indicative,futureII,personal,4,wir,werden gewesen sein,
sein,sein,irregular,indicative,futureII,personal,5,ihr,werdet gewesen sein,
sein,sein,irregular,indicative,futureII,personal,6,sie / Sie,werden gewesen sein,
sein,sein,irregular,subjunctive,subjunctiveI,personal,1,ich,sei,
