infinitive,alias,group,mood,tense,layout,row_order,label,form,note_keys
être,etre,third,indicative,present,personal,1,je,suis,
être,etre,third,indicative,present,personal,2,tu,es,
être,etre,third,indicative,present,personal,3,il / elle / on,est,
être,etre,third,indicative,present,personal,4,nous,sommes,
être,etre,third,indicative,present,personal,5,vous,êtes,
être,etre,third,indicative,present,personal,6,ils / elles,sont,
être,etre,third,indicative,imperfect,personal,1,je,étais,
être,etre,third,indicative,imperfect,personal,2,tu,étais,
être,etre,third,indicative,imperfect,personal,3,il / elle / on,était,
être,etre,third,indicative,imperfect,personal,4,nous,étions,
être,etre,third,indicative,imperfect,personal,5,vous,étiez,
être,etre,third,indicative,imperfect,personal,6,ils / elles,étaient,
être,etre,third,indicative,passeCompose,personal,1,j',ai été,
être,etre,third,indicative,passeCompose,personal,2,tu,as été,
être,etre,third,indicative,passeCompose,personal,3,il / elle / on,a été,
être,etre,third,indicative,passeCompose,personal,4,nous,avons été,
être,etre,third,indicative,passeCompose,personal,5,vous,avez été,
être,etre,third,indicative,passeCompose,personal,6,ils / elles,ont été,
être,etre,third,indicative,plusQueParfait,personal,1,j',avais été,
être,etre,third,indicative,plusQueParfait,personal,2,tu,avais été,
être,etre,third,indicative,plusQueParfait,personal,3,il / elle / on,avait été,
être,etre,third,indicative,plusQueParfait,personal,4,nous,avions été,
être,etre,third,indicative,plusQueParfait,personal,5,vous,aviez été,
être,etre,third,indicative,plusQueParfait,personal,6,ils / elles,avaient été,
être,etre,third,indicative,passeSimple,personal,1,je,fus,
être,etre,third,indicative,passeSimple,personal,2,tu,fus,
être,etre,third,indicative,passeSimple,personal,3,il / elle / on,fut,
être,etre,third,indicative,passeSimple,personal,4,nous,fûmes,
être,etre,third,indicative,passeSimple,personal,5,vous,fûtes,
être,etre,third,indicative,passeSimple,personal,6,ils / elles,furent,
être,etre,third,indicative,futureSimple,personal,1,je,serai,
être,etre,third,indicative,futureSimple,personal,2,tu,seras,
être,etre,third,indicative,futureSimple,personal,3,il / elle / on,sera,
être,etre,third,indicative,futureSimple,personal,4,nous,serons,
être,etre,third,indicative,futureSimple,personal,5,vous,serez,
être,etre,third,indicative,futureSimple,personal,6,ils / elles,seront,
être,etre,third,indicative,futurAnterieur,personal,1,j',aurai été,
être,etre,third,indicative,futurAnterieur,personal,2,tu,auras été,
être,etre,third,indicative,futurAnterieur,personal,3,il / elle / on,aura été,
être,etre,third,indicative,futurAnterieur,personal,4,nous,aurons été,
être,etre,third,indicative,futurAnterieur,personal,5,vous,aurez été,
être,etre,third,indicative,futurAnterieur,personal,6,ils / elles,auront été,
être,etre,third,subjunctive,subjunctivePresent,personal,1,je,sois,
être,etre,third,subjunctive,subjunctivePresent,personal,2,tu,sois,
être,etre,third,subjunctive,subjunctivePresent,personal,3,il / elle / on,soit,
être,etre,third,subjunctive,subjunctivePresent,personal,4,nous,soyons,
être,etre,third,subjunctive,subjunctivePresent,personal,5,vous,soyez,
être,etre,third,subjunctive,subjunctivePresent,personal,6,ils / elles,soient,
être,etre,third,subjunctive,subjunctivePast,personal,1,j',aie été,
être,etre,third,subjunctive,subjunctivePast,personal,2,tu,aies été,
être,etre,third,subjunctive,subjunctivePast,personal,3,il / elle / on,ait été,
être,etre,third,subjunctive,subjunctivePast,personal,4,nous,ayons été,
être,etre,third,subjunctive,subjunctivePast,personal,5,vous,ayez été,
être,etre,third,subjunctive,subjunctivePast,personal,6,ils / elles,aient été,
être,etre,third,conditional,conditionalPresent,personal,1,je,serais,
être,etre,third,conditional,conditionalPresent,personal,2,tu,serais,
être,etre,third,conditional,conditionalPresent,personal,3,il / elle / on,serait,
être,etre,third,conditional,conditionalPresent,personal,4,nous,serions,
être,etre,third,conditional,conditionalPresent,personal,5,vous,seriez,
être,etre,third,conditional,conditionalPresent,personal,6,ils / elles,seraient,
être,etre,third,conditional,conditionalPast,personal,1,j',aurais été,
être,etre,third,conditional,conditionalPast,personal,2,tu,aurais été,
